topic_num,topic_keyword,topic_head
0,thread come  damage product  shirt cotton  mix disappoint  wear  get  product fit  stuff hard  ugly profuct  highly deceive,Just did not like it
1,worst product  material whirt  much poor  low  first wash  product  worst quality  dont buy  ot good  also fit,Bad Fabric and Fit
2,product quality  bad quality  good quality  product bad  accord money  recommend  get fade  waste money  waste  low quality,Bad Feel and Quality
3,small size  one wash  quality product  one  bad look  like use  fit product  accurate  bad  total waste,Bad
